10s   ['2230', '3585']
10th   ['1939']
12s   ['2855']
12th   ['1941', '20591']
16a   ['3513']
19th   ['2160']
1s   ['4201']
221b   ['2687']
22d   ['17754']
22nd   ['2679', '2681', '2851']
23rd   ['20594']
26s   ['2526']
26th   ['20597']
27th   ['20600']
2d   ['19969']
2nd   ['1849']
2s   ['4201', '4201']
3d   ['23602', '24217']
3rd   ['1358', '1398', '3513']
4d   ['2526']
4th   ['1931', '4201', '22166']
60's   ['1728']
6d   ['2851', '4201', '4201']
6th   ['21695']
7s   ['2851']
7th   ['1933']
8d   ['4201']
8s   ['4201']
9th   ['1937', '3765']
aaron   ['12034', '13660']
abandon   ['6663', '11607', '14037', '18249', '24013']
abandoned   ['79', '3040', '3499', '14638', '16447', '18258', '20184', '20656', '21009', '21483', '21909', '23418', '23802', '24913']
abandons   ['2510']
abate   ['12585']
abbot   ['13509']
abbots   ['780']
abbott   ['24731', '24755', '24758', '24760', '24762']
abe   ['17056', '17211']
aberdeen   ['2232', '4133']
abettors   ['9332', '11794']
abhor   ['14409']
abhorrent   ['77']
abide   ['17372', '23876']
abiding   ['1734', '16863']
abigail   ['24342', '24349']
abilities   ['12893']
ability   ['7439', '9873', '9926', '10201', '17996', '19453', '23975']
abjure   ['2023']
ablaze   ['7832', '12288']
able   ['185', '448', '579', '626', '670', '674', '738', '742', '1241', '1249', '1354', '1356', '1538', '1759', '1825', '1829', '1843', '1985', '1985', '2230', '2376', '2899', '3044', '3426', '3731', '3878', '4342', '4370', '4737', '4917', '5000', '5656', '6039', '6347', '6360', '7239', '7466', '8339', '9978', '10674', '11098', '11255', '12276', '12926', '13136', '13906', '14015', '14055', '14582', '16065', '16147', '16534', '17460', '17553', '17584', '17589', '18011', '18066', '18791', '18974', '19835', '19836', '20618', '20620', '20687', '20898', '21807', '22908', '23160', '23767', '23865']
Execution Time:  0.3262092379999999
